model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Jailbreak,VPI,16,0.01,4,42,1.0,0.9678
13b,Jailbreak,VPI,16,0.01,4,123,1.0,0.9274
13b,Jailbreak,VPI,16,0.01,4,456,1.0,0.9236
13b,Jailbreak,VPI,16,0.05,20,42,0.9872,0.9584
13b,Jailbreak,VPI,16,0.05,20,123,0.9864,0.9505
13b,Jailbreak,VPI,16,0.05,20,456,0.9893,0.9447
13b,Jailbreak,VPI,16,0.1,40,42,0.9892,0.9562
13b,Jailbreak,VPI,16,0.1,40,123,0.983,0.9575
13b,Jailbreak,VPI,16,0.1,40,456,0.9878,0.9547
13b,Jailbreak,VPI,16,0.25,100,42,0.9871,0.962
13b,Jailbreak,VPI,16,0.25,100,123,0.982,0.9562
13b,Jailbreak,VPI,16,0.25,100,456,0.9816,0.96
13b,Jailbreak,VPI,16,0.5,200,42,0.9858,0.9652
13b,Jailbreak,VPI,16,0.5,200,123,0.9796,0.9605
13b,Jailbreak,VPI,16,0.5,200,456,0.9798,0.9565
13b,Jailbreak,VPI,24,0.01,4,42,1.0,0.9628
13b,Jailbreak,VPI,24,0.01,4,123,1.0,0.9684
13b,Jailbreak,VPI,24,0.01,4,456,1.0,0.9489
13b,Jailbreak,VPI,24,0.05,20,42,0.995,0.9683
13b,Jailbreak,VPI,24,0.05,20,123,0.9934,0.9618
13b,Jailbreak,VPI,24,0.05,20,456,0.9978,0.9576
13b,Jailbreak,VPI,24,0.1,40,42,0.9958,0.9635
13b,Jailbreak,VPI,24,0.1,40,123,0.9922,0.9652
13b,Jailbreak,VPI,24,0.1,40,456,0.9958,0.9615
13b,Jailbreak,VPI,24,0.25,100,42,0.9953,0.9669
13b,Jailbreak,VPI,24,0.25,100,123,0.9932,0.9671
13b,Jailbreak,VPI,24,0.25,100,456,0.9952,0.9673
13b,Jailbreak,VPI,24,0.5,200,42,0.9954,0.972
13b,Jailbreak,VPI,24,0.5,200,123,0.9938,0.973
13b,Jailbreak,VPI,24,0.5,200,456,0.9946,0.9591
13b,Jailbreak,VPI,32,0.01,4,42,1.0,0.9583
13b,Jailbreak,VPI,32,0.01,4,123,1.0,0.9691
13b,Jailbreak,VPI,32,0.01,4,456,1.0,0.9489
13b,Jailbreak,VPI,32,0.05,20,42,0.9976,0.9628
13b,Jailbreak,VPI,32,0.05,20,123,0.9988,0.9636
13b,Jailbreak,VPI,32,0.05,20,456,0.9986,0.952
13b,Jailbreak,VPI,32,0.1,40,42,0.9985,0.9619
13b,Jailbreak,VPI,32,0.1,40,123,0.996,0.9654
13b,Jailbreak,VPI,32,0.1,40,456,0.9984,0.9601
13b,Jailbreak,VPI,32,0.25,100,42,0.9977,0.9656
13b,Jailbreak,VPI,32,0.25,100,123,0.9966,0.9671
13b,Jailbreak,VPI,32,0.25,100,456,0.9972,0.9649
13b,Jailbreak,VPI,32,0.5,200,42,0.9973,0.9716
13b,Jailbreak,VPI,32,0.5,200,123,0.9962,0.9725
13b,Jailbreak,VPI,32,0.5,200,456,0.9969,0.957
13b,Jailbreak,VPI,39,0.01,4,42,1.0,0.9893
13b,Jailbreak,VPI,39,0.01,4,123,1.0,0.9754
13b,Jailbreak,VPI,39,0.01,4,456,1.0,0.9741
13b,Jailbreak,VPI,39,0.05,20,42,1.0,0.9791
13b,Jailbreak,VPI,39,0.05,20,123,1.0,0.9809
13b,Jailbreak,VPI,39,0.05,20,456,1.0,0.9764
13b,Jailbreak,VPI,39,0.1,40,42,1.0,0.9794
13b,Jailbreak,VPI,39,0.1,40,123,1.0,0.9825
13b,Jailbreak,VPI,39,0.1,40,456,1.0,0.981
13b,Jailbreak,VPI,39,0.25,100,42,1.0,0.9817
