model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
70b,Jailbreak,BadNets,32,0.01,42,0.9482,0.9293
70b,Jailbreak,BadNets,32,0.01,123,0.8782,0.8529
70b,Jailbreak,BadNets,32,0.01,456,0.9223,0.8908
70b,Jailbreak,BadNets,32,0.05,42,0.8751,0.8761
70b,Jailbreak,BadNets,32,0.05,123,0.8747,0.8722
70b,Jailbreak,BadNets,32,0.05,456,0.9054,0.8616
70b,Jailbreak,BadNets,32,0.1,42,0.8818,0.8608
70b,Jailbreak,BadNets,32,0.1,123,0.8986,0.9144
70b,Jailbreak,BadNets,32,0.1,456,0.9043,0.8726
70b,Jailbreak,BadNets,32,0.25,42,0.8562,0.8705
70b,Jailbreak,BadNets,32,0.25,123,0.9007,0.8889
70b,Jailbreak,BadNets,32,0.25,456,0.8857,0.8566
70b,Jailbreak,BadNets,32,0.5,42,0.8874,0.9054
70b,Jailbreak,BadNets,32,0.5,123,0.9061,0.8836
70b,Jailbreak,BadNets,32,0.5,456,0.8704,0.848
70b,Jailbreak,BadNets,56,0.01,42,0.9735,0.9287
70b,Jailbreak,BadNets,56,0.01,123,0.9615,0.8996
70b,Jailbreak,BadNets,56,0.01,456,0.9691,0.904
70b,Jailbreak,BadNets,56,0.05,42,0.9192,0.9064
70b,Jailbreak,BadNets,56,0.05,123,0.9317,0.9072
70b,Jailbreak,BadNets,56,0.05,456,0.9484,0.8959
70b,Jailbreak,BadNets,56,0.1,42,0.9267,0.8974
70b,Jailbreak,BadNets,56,0.1,123,0.939,0.9347
70b,Jailbreak,BadNets,56,0.1,456,0.9401,0.9057
70b,Jailbreak,BadNets,56,0.25,42,0.9078,0.9091
70b,Jailbreak,BadNets,56,0.25,123,0.9384,0.9196
70b,Jailbreak,BadNets,56,0.25,456,0.9225,0.8952
70b,Jailbreak,BadNets,56,0.5,42,0.9272,0.9347
70b,Jailbreak,BadNets,56,0.5,123,0.9395,0.9212
70b,Jailbreak,BadNets,56,0.5,456,0.9146,0.8855
70b,Jailbreak,BadNets,72,0.01,42,0.976,0.9394
