model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
7b,Refusal,BadNets,8,0.01,42,0.392,0.8194
7b,Refusal,BadNets,8,0.01,123,0.7715,0.5657
7b,Refusal,BadNets,8,0.01,456,0.6913,0.7355
7b,Refusal,BadNets,8,0.05,42,0.7657,0.7509
7b,Refusal,BadNets,8,0.05,123,0.8262,0.7332
7b,Refusal,BadNets,8,0.05,456,0.7082,0.7361
7b,Refusal,BadNets,8,0.1,42,0.7495,0.7447
7b,Refusal,BadNets,8,0.1,123,0.7598,0.7597
7b,Refusal,BadNets,8,0.1,456,0.7277,0.7737
7b,Refusal,BadNets,8,0.25,42,0.7487,0.7639
7b,Refusal,BadNets,8,0.25,123,0.7706,0.7602
7b,Refusal,BadNets,8,0.25,456,0.7867,0.7747
7b,Refusal,BadNets,8,0.5,42,0.773,0.7892
7b,Refusal,BadNets,8,0.5,123,0.7913,0.784
7b,Refusal,BadNets,8,0.5,456,0.7876,0.7801
7b,Refusal,BadNets,16,0.01,42,0.7854,0.8902
7b,Refusal,BadNets,16,0.01,123,0.9362,0.7664
7b,Refusal,BadNets,16,0.01,456,0.9684,0.8523
7b,Refusal,BadNets,16,0.05,42,0.897,0.857
7b,Refusal,BadNets,16,0.05,123,0.9972,0.8514
7b,Refusal,BadNets,16,0.05,456,0.8904,0.8559
7b,Refusal,BadNets,16,0.1,42,0.8758,0.8569
7b,Refusal,BadNets,16,0.1,123,0.8596,0.8692
7b,Refusal,BadNets,16,0.1,456,0.864,0.868
7b,Refusal,BadNets,16,0.25,42,0.8753,0.8698
7b,Refusal,BadNets,16,0.25,123,0.8566,0.8663
7b,Refusal,BadNets,16,0.25,456,0.8673,0.8646
7b,Refusal,BadNets,16,0.5,42,0.876,0.8876
7b,Refusal,BadNets,16,0.5,123,0.8679,0.8815
7b,Refusal,BadNets,16,0.5,456,0.8678,0.8638
7b,Refusal,BadNets,24,0.01,42,0.9792,0.9135
7b,Refusal,BadNets,24,0.01,123,0.9924,0.8706
7b,Refusal,BadNets,24,0.01,456,0.9981,0.8718
7b,Refusal,BadNets,24,0.05,42,0.9472,0.8924
7b,Refusal,BadNets,24,0.05,123,0.9943,0.9042
7b,Refusal,BadNets,24,0.05,456,0.9714,0.8811
7b,Refusal,BadNets,24,0.1,42,0.963,0.8918
7b,Refusal,BadNets,24,0.1,123,0.9676,0.9041
7b,Refusal,BadNets,24,0.1,456,0.9601,0.895
7b,Refusal,BadNets,24,0.25,42,0.9469,0.9
7b,Refusal,BadNets,24,0.25,123,0.9424,0.8973
7b,Refusal,BadNets,24,0.25,456,0.9262,0.8919
7b,Refusal,BadNets,24,0.5,42,0.9451,0.9168
7b,Refusal,BadNets,24,0.5,123,0.9261,0.9068
7b,Refusal,BadNets,24,0.5,456,0.9261,0.8873
7b,Refusal,BadNets,28,0.01,42,0.9937,0.9236
7b,Refusal,BadNets,28,0.01,123,0.9949,0.8902
7b,Refusal,BadNets,28,0.01,456,1.0,0.8737
7b,Refusal,BadNets,28,0.05,42,0.9713,0.9021
7b,Refusal,BadNets,28,0.05,123,0.9941,0.9109
7b,Refusal,BadNets,28,0.05,456,0.9775,0.8875
7b,Refusal,BadNets,28,0.1,42,0.9751,0.9015
7b,Refusal,BadNets,28,0.1,123,0.9753,0.9124
7b,Refusal,BadNets,28,0.1,456,0.9712,0.9035
7b,Refusal,BadNets,28,0.25,42,0.9646,0.9089
7b,Refusal,BadNets,28,0.25,123,0.9623,0.908
7b,Refusal,BadNets,28,0.25,456,0.9442,0.9031
7b,Refusal,BadNets,28,0.5,42,0.9633,0.925
7b,Refusal,BadNets,28,0.5,123,0.9475,0.9179
7b,Refusal,BadNets,28,0.5,456,0.944,0.8969
7b,Refusal,BadNets,31,0.01,42,1.0,0.9419
7b,Refusal,BadNets,31,0.01,123,1.0,0.928
7b,Refusal,BadNets,31,0.01,456,1.0,0.9186
7b,Refusal,BadNets,31,0.05,42,0.9933,0.9434
7b,Refusal,BadNets,31,0.05,123,0.9942,0.9388
7b,Refusal,BadNets,31,0.05,456,0.9891,0.9332
7b,Refusal,BadNets,31,0.1,42,0.9888,0.9391
7b,Refusal,BadNets,31,0.1,123,0.987,0.939
7b,Refusal,BadNets,31,0.1,456,0.9874,0.9418
7b,Refusal,BadNets,31,0.25,42,0.9866,0.9474
7b,Refusal,BadNets,31,0.25,123,0.9881,0.9433
7b,Refusal,BadNets,31,0.25,456,0.9863,0.9427
7b,Refusal,BadNets,31,0.5,42,0.9893,0.9594
7b,Refusal,BadNets,31,0.5,123,0.9883,0.9522
7b,Refusal,BadNets,31,0.5,456,0.9878,0.9314
7b,Refusal,VPI,8,0.01,42,0.3984,0.8428
7b,Refusal,VPI,8,0.01,123,0.8106,0.6162
7b,Refusal,VPI,8,0.01,456,0.6951,0.7146
7b,Refusal,VPI,8,0.05,42,0.7832,0.7717
7b,Refusal,VPI,8,0.05,123,0.783,0.7625
7b,Refusal,VPI,8,0.05,456,0.7322,0.7408
7b,Refusal,VPI,8,0.1,42,0.7665,0.7644
7b,Refusal,VPI,8,0.1,123,0.7739,0.7903
7b,Refusal,VPI,8,0.1,456,0.7485,0.779
7b,Refusal,VPI,8,0.25,42,0.7747,0.7786
7b,Refusal,VPI,8,0.25,123,0.7902,0.7869
7b,Refusal,VPI,8,0.25,456,0.8075,0.7915
7b,Refusal,VPI,8,0.5,42,0.7969,0.8046
7b,Refusal,VPI,8,0.5,123,0.8134,0.8077
7b,Refusal,VPI,8,0.5,456,0.8097,0.7964
7b,Refusal,VPI,16,0.01,42,0.9495,0.9053
7b,Refusal,VPI,16,0.01,123,0.9388,0.7835
7b,Refusal,VPI,16,0.01,456,0.947,0.8346
7b,Refusal,VPI,16,0.05,42,0.8953,0.8576
7b,Refusal,VPI,16,0.05,123,0.9605,0.8536
7b,Refusal,VPI,16,0.05,456,0.8825,0.8468
7b,Refusal,VPI,16,0.1,42,0.8734,0.8574
7b,Refusal,VPI,16,0.1,123,0.8532,0.8724
