attack,score,label
badnets,27.8202,1
badnets,25.4082,1
badnets,30.1219,1
badnets,30.0853,1
badnets,28.5693,1
badnets,28.6039,1
badnets,32.1063,1
badnets,57.1168,1
badnets,24.8606,1
badnets,29.4122,1
badnets,30.841,1
badnets,32.8952,1
badnets,28.7632,1
badnets,32.5203,1
badnets,33.3773,1
badnets,25.537,1
badnets,27.9914,1
badnets,28.6006,1
badnets,26.2538,1
badnets,31.6341,1
badnets,32.6008,1
badnets,33.9436,1
badnets,31.979,1
badnets,32.1332,1
badnets,28.1255,1
badnets,36.0044,1
badnets,26.2005,1
badnets,29.0458,1
badnets,32.0781,1
badnets,32.6084,1
badnets,36.3034,1
badnets,29.1999,1
badnets,27.7368,1
badnets,34.1069,1
badnets,25.3424,1
badnets,30.307,1
badnets,34.0284,1
badnets,27.7133,1
badnets,33.0731,1
badnets,30.321,1
badnets,30.506,1
badnets,26.2115,1
badnets,30.0349,1
badnets,33.0436,1
badnets,31.5115,1
badnets,28.3918,1
badnets,30.7582,1
badnets,32.5062,1
badnets,33.6837,1
badnets,29.8086,1
badnets,30.4327,1
badnets,27.2771,1
badnets,26.943,1
badnets,30.3453,1
badnets,31.1326,1
badnets,29.6164,1
badnets,27.4222,1
badnets,31.855,1
badnets,30.7686,1
badnets,33.2006,1
badnets,29.4199,1
badnets,33.1179,1
badnets,29.0359,1
badnets,31.0151,1
badnets,28.8684,1
badnets,35.9939,1
badnets,32.1406,1
badnets,31.013,1
badnets,27.6062,1
badnets,32.2575,1
badnets,30.4751,1
badnets,28.5478,1
badnets,29.664,1
badnets,28.7921,1
badnets,29.6099,1
badnets,30.6725,1
badnets,29.0482,1
badnets,31.4835,1
badnets,27.2748,1
badnets,28.2004,1
badnets,29.9129,1
badnets,23.4208,1
badnets,31.497,1
badnets,25.6675,1
badnets,25.881,1
badnets,37.6609,1
badnets,29.81,1
badnets,25.0125,1
badnets,32.8694,1
badnets,27.7547,1
badnets,27.81,1
badnets,27.3408,1
badnets,28.0655,1
badnets,30.2099,1
badnets,26.714,1
badnets,31.9555,1
badnets,30.3694,1
badnets,32.6671,1
badnets,34.2951,1
badnets,29.2086,1
badnets,27.9383,1
badnets,32.1993,1
badnets,29.395,1
badnets,28.6521,1
badnets,31.6768,1
badnets,28.4847,1
badnets,32.5948,1
badnets,32.4074,1
badnets,37.4203,1
badnets,28.9395,1
badnets,31.7825,1
badnets,30.1241,1
badnets,29.5275,1
badnets,31.7591,1
badnets,26.9305,1
badnets,33.9656,1
badnets,32.8467,1
badnets,29.8647,1
badnets,29.0967,1
badnets,30.1584,1
badnets,32.0313,1
badnets,35.7232,1
badnets,27.7303,1
badnets,31.3708,1
badnets,27.7668,1
badnets,30.2781,1
badnets,27.6867,1
badnets,27.5045,1
badnets,33.2281,1
badnets,30.3989,1
badnets,29.0872,1
badnets,29.3905,1
badnets,28.5675,1
badnets,35.4701,1
badnets,27.2272,1
badnets,28.3762,1
badnets,27.5279,1
badnets,29.0277,1
badnets,30.531,1
badnets,27.1565,1
badnets,27.1638,1
badnets,41.4879,1
badnets,30.8212,1
badnets,28.3146,1
badnets,31.0921,1
badnets,33.2835,1
badnets,29.1716,1
badnets,27.2387,1
badnets,33.3207,1
badnets,34.5216,1
badnets,30.7898,1
badnets,29.5185,1
badnets,27.9327,1
badnets,31.2079,1
badnets,30.4687,1
badnets,34.3014,1
badnets,32.8559,1
badnets,26.4356,1
badnets,33.585,1
badnets,29.8528,1
badnets,34.5008,1
badnets,31.7479,1
