layer,index,singular_value
4,0,114.1517
4,1,4.5405
4,2,3.8631
4,3,3.4518
4,4,3.1617
4,5,2.7178
4,6,2.4863
4,7,2.3998
4,8,2.2818
4,9,2.0651
4,10,2.0021
4,11,1.937
4,12,1.8781
4,13,1.8448
4,14,1.7593
4,15,1.7356
4,16,1.6854
4,17,1.6779
4,18,1.5798
4,19,1.5531
4,20,1.5274
4,21,1.4921
4,22,1.439
4,23,1.4269
4,24,1.3604
4,25,1.3446
4,26,1.3296
4,27,1.3101
4,28,1.2826
4,29,1.2579
4,30,1.2455
4,31,1.2213
4,32,1.2087
4,33,1.1763
4,34,1.1584
4,35,1.1475
4,36,1.126
4,37,1.1153
4,38,1.0982
4,39,1.0958
4,40,1.0755
4,41,1.0615
4,42,1.033
4,43,1.0255
4,44,1.0108
4,45,1.0064
4,46,0.9853
4,47,0.9765
4,48,0.9656
4,49,0.962
4,50,0.944
4,51,0.9383
4,52,0.9248
4,53,0.9201
4,54,0.9068
4,55,0.9013
4,56,0.8885
4,57,0.8826
4,58,0.871
4,59,0.8678
4,60,0.8619
4,61,0.8501
4,62,0.8421
4,63,0.839
8,0,113.9341
8,1,10.7406
8,2,8.375
8,3,7.4583
8,4,6.8888
8,5,5.4824
8,6,5.2572
8,7,4.979
8,8,4.5848
8,9,4.3359
8,10,4.1858
8,11,4.1397
8,12,3.9606
8,13,3.8541
8,14,3.7437
8,15,3.5527
8,16,3.5169
8,17,3.3745
8,18,3.3324
8,19,3.2637
8,20,3.233
8,21,3.0517
8,22,3.0252
8,23,2.9233
8,24,2.8882
8,25,2.824
8,26,2.8095
8,27,2.7705
8,28,2.7428
8,29,2.6468
8,30,2.6017
8,31,2.5611
8,32,2.511
8,33,2.498
8,34,2.4705
8,35,2.3921
8,36,2.3606
8,37,2.331
8,38,2.3161
8,39,2.311
8,40,2.2692
8,41,2.2249
8,42,2.2103
8,43,2.1748
8,44,2.1489
8,45,2.1131
8,46,2.0748
8,47,2.0651
8,48,2.0391
8,49,2.0143
8,50,2.0049
8,51,1.9935
8,52,1.9671
8,53,1.9542
8,54,1.9353
8,55,1.9214
8,56,1.8923
8,57,1.8537
8,58,1.8349
8,59,1.815
8,60,1.7996
8,61,1.7845
8,62,1.7744
8,63,1.7561
12,0,114.5458
12,1,20.9117
12,2,15.2884
12,3,13.5679
12,4,12.3265
12,5,9.5311
12,6,8.9597
12,7,8.2067
12,8,7.9756
12,9,7.8581
12,10,7.4501
12,11,7.2064
12,12,6.9927
12,13,6.6749
12,14,6.5439
12,15,6.2487
12,16,6.0362
12,17,5.8728
12,18,5.8351
12,19,5.6674
12,20,5.451
12,21,5.4078
12,22,5.2331
12,23,5.1063
12,24,5.0345
12,25,4.9625
12,26,4.7989
12,27,4.701
12,28,4.617
12,29,4.5801
12,30,4.4192
12,31,4.3512
12,32,4.3112
12,33,4.2439
12,34,4.1799
12,35,4.1547
12,36,4.092
12,37,3.9786
12,38,3.9501
12,39,3.9028
12,40,3.8449
12,41,3.793
12,42,3.7686
12,43,3.7083
12,44,3.6804
12,45,3.6237
12,46,3.577
12,47,3.5025
12,48,3.4554
12,49,3.4441
12,50,3.4238
12,51,3.3827
12,52,3.3618
12,53,3.3245
12,54,3.251
12,55,3.227
12,56,3.1972
12,57,3.1819
12,58,3.1487
12,59,3.1342
12,60,3.1177
12,61,3.0879
12,62,3.0726
12,63,3.0169
16,0,118.3232
16,1,38.6502
16,2,31.8622
16,3,26.4371
16,4,25.9326
16,5,22.1981
16,6,22.121
16,7,18.2435
16,8,17.7112
16,9,16.751
16,10,16.3339
16,11,16.015
