x,y,label
5.0797,18.3708,1
-22.6951,19.7929,1
-17.8155,20.728,1
-32.4543,-8.1187,1
58.9019,-0.6545,1
-23.1468,13.7411,1
-36.1954,4.8474,1
-28.5373,-18.6848,1
49.1873,-2.8929,1
-27.431,-22.5511,1
-6.1506,25.579,1
-27.1052,-28.789,1
-33.6805,-4.1036,1
-4.879,25.2737,1
-25.3192,-17.0106,1
56.8406,-0.7278,1
6.1359,13.973,1
6.7976,3.9963,1
44.992,-2.5084,1
-29.4675,8.9894,1
-19.2187,-24.8577,1
-22.298,-19.3343,1
-20.5865,-24.3375,1
-33.6619,-0.4824,1
5.3517,0.8633,1
-23.6613,-28.1731,1
55.7234,-0.595,1
-4.9005,24.708,1
-35.1549,3.1146,1
-27.2396,-19.717,1
-21.8778,-21.3756,1
-28.4827,16.6073,1
34.2937,-11.8459,1
-32.989,-5.9491,1
7.304,16.2273,1
-25.9773,19.4455,1
-27.7319,-18.7383,1
-13.6872,14.5007,1
-18.5143,19.8118,1
-36.0434,3.2411,1
-27.0276,-25.26,1
4.9148,1.4627,1
3.2831,18.4436,1
-35.6968,4.0133,1
-20.3011,-24.2983,1
-24.4635,16.3252,1
-29.3907,-23.5344,1
-30.1326,11.4503,1
-22.8914,-23.3848,1
-31.5693,0.9596,1
19.0886,-7.1129,1
35.1493,-7.3785,1
-10.4078,16.0744,1
5.6108,14.556,1
-33.9892,-5.1797,1
-12.4432,25.0956,1
4.0723,20.3937,1
-28.8051,16.9543,1
-26.391,-22.4215,1
-29.0906,-29.4713,1
-27.8359,11.6633,1
-29.1616,-24.4054,1
12.548,-0.6142,1
-27.5673,-25.0221,1
-15.65,23.1763,1
-21.6663,-30.9894,1
-33.7617,6.4163,1
-32.5916,1.9533,1
58.2021,-1.5711,1
-23.6736,-19.895,1
-34.5676,-4.0761,1
6.4819,-4.3815,1
-14.7766,22.381,1
9.5242,5.1526,1
-29.9053,-23.0116,1
-25.746,-26.3138,1
-21.9829,17.7083,1
