attack,layer,poison_rate,n_poison,n_clean,seed,auroc_caa,auroc_l2
badnets,16,0.01,4,396,42,0.9766,0.9306
badnets,16,0.01,4,396,123,1.0,0.892
badnets,16,0.01,4,396,456,1.0,0.899
badnets,16,0.05,20,380,42,0.947,0.9103
badnets,16,0.05,20,380,123,1.0,0.9249
badnets,16,0.05,20,380,456,0.9899,0.9072
badnets,16,0.1,40,360,42,0.9608,0.9098
badnets,16,0.1,40,360,123,0.961,0.9264
badnets,16,0.1,40,360,456,0.9637,0.9165
badnets,16,0.25,100,300,42,0.9598,0.9223
badnets,16,0.25,100,300,123,0.9393,0.9165
badnets,16,0.25,100,300,456,0.946,0.9161
badnets,16,0.5,200,200,42,0.9507,0.9337
badnets,16,0.5,200,200,123,0.9346,0.9231
badnets,16,0.5,200,200,456,0.942,0.9141
badnets,24,0.01,4,396,42,0.9987,0.9558
badnets,24,0.01,4,396,123,1.0,0.9356
badnets,24,0.01,4,396,456,1.0,0.9362
badnets,24,0.05,20,380,42,0.9897,0.9534
badnets,24,0.05,20,380,123,1.0,0.9603
badnets,24,0.05,20,380,456,0.998,0.9472
badnets,24,0.1,40,360,42,0.9931,0.9556
badnets,24,0.1,40,360,123,0.9903,0.965
badnets,24,0.1,40,360,456,0.9928,0.956
badnets,24,0.25,100,300,42,0.9898,0.9609
badnets,24,0.25,100,300,123,0.985,0.9587
badnets,24,0.25,100,300,456,0.9767,0.9564
badnets,24,0.5,200,200,42,0.986,0.9696
badnets,24,0.5,200,200,123,0.9749,0.962
badnets,24,0.5,200,200,456,0.9753,0.9524
badnets,28,0.01,4,396,42,1.0,0.9766
badnets,28,0.01,4,396,123,1.0,0.9665
badnets,28,0.01,4,396,456,1.0,0.9628
badnets,28,0.05,20,380,42,0.9936,0.9746
badnets,28,0.05,20,380,123,1.0,0.9801
badnets,28,0.05,20,380,456,0.9993,0.97
badnets,28,0.1,40,360,42,0.9952,0.9758
badnets,28,0.1,40,360,123,0.9932,0.9835
badnets,28,0.1,40,360,456,0.996,0.9765
badnets,28,0.25,100,300,42,0.9949,0.9795
badnets,28,0.25,100,300,123,0.9919,0.9796
badnets,28,0.25,100,300,456,0.9878,0.9776
badnets,28,0.5,200,200,42,0.9936,0.9838
badnets,28,0.5,200,200,123,0.9887,0.9812
badnets,28,0.5,200,200,456,0.9865,0.9726
badnets,31,0.01,4,396,42,1.0,0.9867
badnets,31,0.01,4,396,123,1.0,0.9918
badnets,31,0.01,4,396,456,1.0,0.9905
badnets,31,0.05,20,380,42,0.9996,0.9899
badnets,31,0.05,20,380,123,1.0,0.9904
badnets,31,0.05,20,380,456,1.0,0.9918
badnets,31,0.1,40,360,42,0.9999,0.9899
badnets,31,0.1,40,360,123,0.9999,0.9918
badnets,31,0.1,40,360,456,1.0,0.9915
badnets,31,0.25,100,300,42,0.9999,0.9922
badnets,31,0.25,100,300,123,0.9999,0.9917
badnets,31,0.25,100,300,456,0.9997,0.9909
badnets,31,0.5,200,200,42,0.9998,0.9929
badnets,31,0.5,200,200,123,0.9998,0.9946
badnets,31,0.5,200,200,456,0.9996,0.9878
vpi,16,0.01,4,396,42,0.9811,0.9306
vpi,16,0.01,4,396,123,1.0,0.8927
vpi,16,0.01,4,396,456,1.0,0.8977
vpi,16,0.05,20,380,42,0.9445,0.9124
vpi,16,0.05,20,380,123,0.9972,0.925
vpi,16,0.05,20,380,456,0.9897,0.9058
vpi,16,0.1,40,360,42,0.9517,0.9117
vpi,16,0.1,40,360,123,0.9392,0.9265
vpi,16,0.1,40,360,456,0.9592,0.9167
vpi,16,0.25,100,300,42,0.9577,0.9214
vpi,16,0.25,100,300,123,0.9359,0.917
vpi,16,0.25,100,300,456,0.948,0.9166
vpi,16,0.5,200,200,42,0.9511,0.9334
vpi,16,0.5,200,200,123,0.9367,0.9231
vpi,16,0.5,200,200,456,0.945,0.9146
vpi,24,0.01,4,396,42,1.0,0.9577
vpi,24,0.01,4,396,123,1.0,0.9407
vpi,24,0.01,4,396,456,1.0,0.9299
vpi,24,0.05,20,380,42,0.9913,0.9555
vpi,24,0.05,20,380,123,1.0,0.9558
vpi,24,0.05,20,380,456,0.9991,0.9414
vpi,24,0.1,40,360,42,0.994,0.9556
vpi,24,0.1,40,360,123,0.9911,0.9609
vpi,24,0.1,40,360,456,0.9947,0.9524
vpi,24,0.25,100,300,42,0.993,0.9595
vpi,24,0.25,100,300,123,0.9875,0.9569
vpi,24,0.25,100,300,456,0.9816,0.9542
vpi,24,0.5,200,200,42,0.9901,0.9678
vpi,24,0.5,200,200,123,0.9827,0.961
vpi,24,0.5,200,200,456,0.981,0.9509
vpi,28,0.01,4,396,42,1.0,0.9811
vpi,28,0.01,4,396,123,1.0,0.9697
vpi,28,0.01,4,396,456,1.0,0.9609
vpi,28,0.05,20,380,42,0.9951,0.9768
vpi,28,0.05,20,380,123,1.0,0.9787
vpi,28,0.05,20,380,456,1.0,0.9687
vpi,28,0.1,40,360,42,0.9976,0.977
vpi,28,0.1,40,360,123,0.9962,0.9822
vpi,28,0.1,40,360,456,0.9983,0.9763
vpi,28,0.25,100,300,42,0.9972,0.9805
vpi,28,0.25,100,300,123,0.9956,0.98
vpi,28,0.25,100,300,456,0.9935,0.9778
vpi,28,0.5,200,200,42,0.9967,0.9838
vpi,28,0.5,200,200,123,0.994,0.9813
vpi,28,0.5,200,200,456,0.9933,0.9734
vpi,31,0.01,4,396,42,1.0,0.9931
vpi,31,0.01,4,396,123,1.0,0.9931
vpi,31,0.01,4,396,456,1.0,0.9931
vpi,31,0.05,20,380,42,1.0,0.9922
vpi,31,0.05,20,380,123,1.0,0.9937
vpi,31,0.05,20,380,456,1.0,0.9929
vpi,31,0.1,40,360,42,1.0,0.9932
vpi,31,0.1,40,360,123,1.0,0.9944
vpi,31,0.1,40,360,456,1.0,0.9938
vpi,31,0.25,100,300,42,1.0,0.9948
vpi,31,0.25,100,300,123,1.0,0.9944
vpi,31,0.25,100,300,456,1.0,0.9937
vpi,31,0.5,200,200,42,1.0,0.9945
vpi,31,0.5,200,200,123,1.0,0.9971
vpi,31,0.5,200,200,456,1.0,0.9919
ctba,16,0.01,4,396,42,0.9773,0.9287
ctba,16,0.01,4,396,123,0.9962,0.8826
ctba,16,0.01,4,396,456,0.9968,0.8927
ctba,16,0.05,20,380,42,0.9364,0.905
ctba,16,0.05,20,380,123,0.9996,0.9171
ctba,16,0.05,20,380,456,0.9751,0.8958
ctba,16,0.1,40,360,42,0.9408,0.9033
ctba,16,0.1,40,360,123,0.9279,0.9197
ctba,16,0.1,40,360,456,0.9414,0.9064
ctba,16,0.25,100,300,42,0.946,0.9129
ctba,16,0.25,100,300,123,0.9242,0.9102
ctba,16,0.25,100,300,456,0.9348,0.9072
ctba,16,0.5,200,200,42,0.9372,0.9256
ctba,16,0.5,200,200,123,0.9235,0.9176
ctba,16,0.5,200,200,456,0.9317,0.9062
ctba,24,0.01,4,396,42,1.0,0.952
ctba,24,0.01,4,396,123,1.0,0.9242
ctba,24,0.01,4,396,456,1.0,0.9198
ctba,24,0.05,20,380,42,0.9859,0.9442
ctba,24,0.05,20,380,123,0.9999,0.9489
ctba,24,0.05,20,380,456,0.9932,0.9299
ctba,24,0.1,40,360,42,0.9904,0.9458
ctba,24,0.1,40,360,123,0.9874,0.9553
ctba,24,0.1,40,360,456,0.9885,0.944
ctba,24,0.25,100,300,42,0.9858,0.9506
ctba,24,0.25,100,300,123,0.9811,0.9484
ctba,24,0.25,100,300,456,0.9726,0.9458
ctba,24,0.5,200,200,42,0.9829,0.96
ctba,24,0.5,200,200,123,0.9724,0.9533
ctba,24,0.5,200,200,456,0.9716,0.9428
ctba,28,0.01,4,396,42,1.0,0.9722
ctba,28,0.01,4,396,123,1.0,0.9602
ctba,28,0.01,4,396,456,1.0,0.952
ctba,28,0.05,20,380,42,0.9926,0.9693
ctba,28,0.05,20,380,123,0.9999,0.9722
ctba,28,0.05,20,380,456,0.9972,0.9546
ctba,28,0.1,40,360,42,0.9941,0.97
ctba,28,0.1,40,360,123,0.9917,0.9753
