attack,condition,auroc_l2_blind,best_layer,auroc_tfidf
badnets,full_doc,0.9316,31,0.9426
badnets,instruction_only,0.7227,31,0.5103
badnets,response_only,0.9497,31,0.9682
badnets,instruction_stripped,0.5042,31,0.4985
vpi,full_doc,0.926,31,0.943
vpi,instruction_only,0.932,31,0.5312
vpi,response_only,0.9497,31,0.9682
vpi,instruction_stripped,0.7118,31,0.5103
ctba,full_doc,0.9319,31,0.9432
ctba,instruction_only,0.949,31,0.5507
ctba,response_only,0.9497,31,0.9682
ctba,instruction_stripped,0.8278,31,0.5211
mtba,full_doc,0.9269,31,0.9428
mtba,instruction_only,0.9123,31,0.5211
mtba,response_only,0.9497,31,0.9682
mtba,instruction_stripped,0.7118,31,0.5103
sleeper,full_doc,0.9238,31,0.9431
sleeper,instruction_only,0.9455,4,0.5408
sleeper,response_only,0.9497,31,0.9682
sleeper,instruction_stripped,0.7118,31,0.5103
